"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;ID;Nombre de la Destreza;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;9;Evaluación y control de actividades;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;33;Liderazgo;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;6;Pensamiento crítico;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;12;Persuasión;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;1;Comprensión de lectura;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;4;Comunicación asertiva;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;28;Criterio y toma de decisiones;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;2;Escucha activa;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;9;Evaluación y control de actividades;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;33;Liderazgo;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;6;Pensamiento crítico;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;4;Comunicación asertiva;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;9;Evaluación y control de actividades;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;32;Gestión del Talento Humano y de Personal;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;15;Orientación al servicio;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;6;Pensamiento crítico;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;10;Relaciones interpersonales;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;16;Resolución de problemas complejos;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;1;Comprensión de lectura;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;4;Comunicación asertiva;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;28;Criterio y toma de decisiones;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;9;Evaluación y control de actividades;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;32;Gestión del Talento Humano y de Personal;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;33;Liderazgo;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;6;Pensamiento crítico;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;1;Comprensión de lectura;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;4;Comunicación asertiva;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;2;Escucha activa;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;32;Gestión del Talento Humano y de Personal;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;33;Liderazgo;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;25;Manejo de imprevistos;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;24;Mantenimiento de equipos;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;27;Análisis de procesos;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;4;Comunicación asertiva;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;28;Criterio y toma de decisiones;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;32;Gestión del Talento Humano y de Personal;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;33;Liderazgo;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;6;Pensamiento crítico;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;16;Resolución de problemas complejos;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;1;Comprensión de lectura;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;4;Comunicación asertiva;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;2;Escucha activa;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;9;Evaluación y control de actividades;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;6;Pensamiento crítico;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;10;Relaciones interpersonales;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;11;Trabajo en equipo;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;1;Comprensión de lectura;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;4;Comunicación asertiva;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;2;Escucha activa;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;9;Evaluación y control de actividades;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;6;Pensamiento crítico;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;12;Persuasión;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;10;Relaciones interpersonales;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;4;Comunicación asertiva;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;39;Creatividad;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;9;Evaluación y control de actividades;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;33;Liderazgo;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;6;Pensamiento crítico;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;3;Redacción de textos;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;10;Relaciones interpersonales;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;39;Creatividad;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;28;Criterio y toma de decisiones;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;9;Evaluación y control de actividades;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;30;Gestión de recursos financieros;
