"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;;
Código de la Ocupación;Nombre de la Ocupación;Código CIUO-08;Observaciones sobre la CIUO-08;Código CNO;Observaciones sobre la CNO;
12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;;;4174*;Denominaciones parciales;
12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;1223;Denominaciones completas;"0211*";Denominaciones parciales;
12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;;;"0212*";Denominaciones parciales;
12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;;;"0311*";Denominaciones parciales;
12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;;;"2112*";Denominaciones parciales;
12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;;;2141*;Denominaciones parciales;
13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;1311;Denominaciones completas;"0212*";Denominaciones parciales;
13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;;;"0712*";Denominaciones parciales;
13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;;;"2123*";Denominaciones parciales;
13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;;;"7231*";Denominaciones parciales;
13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;;;7233*;Denominaciones parciales;
13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;1312;Denominaciones completas;"0712*";Denominaciones parciales;
13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;;;"7111*";Denominaciones parciales;
13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;;;7231*;Denominaciones parciales;
13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;"1120*";Denominaciones parciales;"0016*";Denominaciones parciales;
13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;1321*;Denominaciones parciales;"0211*";Denominaciones parciales;
13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;;;"0212*";Denominaciones parciales;
13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;;;"0712*";Denominaciones parciales;
13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;;;0911;Denominaciones completas;
13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);1322*;Denominaciones parciales;"0016*";Denominaciones parciales;
13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);;;"0711";Denominaciones completas;
13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);;;0912*;Denominaciones parciales;
13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;1323*;Denominaciones parciales;"0211*";Denominaciones parciales;
13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;;;"0811";Denominaciones completas;
13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;;;"0821*";Denominaciones parciales;
13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;;;"2151*";Denominaciones parciales;
13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;;;2153*;Denominaciones parciales;
13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;1324*;Denominaciones parciales;"0113";Denominaciones completas;
13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;;;"0814*";Denominaciones parciales;
13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;;;1215*;Denominaciones parciales;
13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;1324*;Denominaciones parciales;"0132";Denominaciones completas;
13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;;;1214*;Denominaciones parciales;
13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;"1120*";Denominaciones parciales;"0812*";Denominaciones parciales;
13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;"1221*";Denominaciones parciales;"0813";Denominaciones completas;
13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;1324*;Denominaciones parciales;"0821*";Denominaciones parciales;
13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;;;"1215*";Denominaciones parciales;
13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;;;2272*;Denominaciones parciales;
13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;1324*;Denominaciones parciales;"0114*";Denominaciones parciales;
13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;;;"0814*";Denominaciones parciales;
13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;;;1215*;Denominaciones parciales;
13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;1330*;Denominaciones parciales;0131;Denominaciones completas;
13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;1330*;Denominaciones parciales;"0013*";Denominaciones parciales;
13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;;;"0114*";Denominaciones parciales;
13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;;;"0123*";Denominaciones parciales;
13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;;;0213;Denominaciones completas;
13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;1330*;Denominaciones parciales;"0015*";Denominaciones parciales;
13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;;;"0512*";Denominaciones parciales;
13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;;;0611*;Denominaciones parciales;
13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;1341;Denominaciones completas;;;
13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;1342*;Denominaciones parciales;"0014*";Denominaciones parciales;
13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;;;"0311*";Denominaciones parciales;
13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;;;"0411*";Denominaciones parciales;
13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;;;3151*;Denominaciones parciales;
13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;1343;Denominaciones completas;;;
13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;1344;Denominaciones completas;"0411*";Denominaciones parciales;
