"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Principal;
1;13452;Directores y administradores de instituciones de educación y formación / Directoras y administradoras de instituciones de educación y formación;AFDE;Administración, finanzas y derecho;
1;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;AFDE;Administración, finanzas y derecho;
1;13491;Directores y gerentes de archivo, biblioteca, museo y galería de arte / Directoras y gerentas de archivo, biblioteca, museo y galería de arte;AFDE;Administración, finanzas y derecho;
1;13492;Directores y gerentes de servicios y procesos de negocio / Directoras y gerentes de servicios y procesos de negocio;AFDE;Administración, finanzas y derecho;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;AFDE;Administración, finanzas y derecho;
1;14110;Directores y gerentes de servicios hoteleros y hospedaje / Directoras y gerentes de servicios hoteleros y hospedaje;AFDE;Administración, finanzas y derecho;
1;14120;Gerentes y administradores de servicios de alimentos y restaurantes / Gerentas y administradoras de servicios de alimentos y restaurantes;AFDE;Administración, finanzas y derecho;
1;14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;AFDE;Administración, finanzas y derecho;
1;14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;AFDE;Administración, finanzas y derecho;
1;14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;AFDE;Administración, finanzas y derecho;
1;14391;Gerentes y administradores de propiedad horizontal / Gerentas y administradoras de propiedad horizontal;AFDE;Administración, finanzas y derecho;
1;14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;AFDE;Administración, finanzas y derecho;
2;21110;Físicos y astrónomos / Físicas y astrónomas;CNME;Ciencias naturales, matemáticas y estadística;
2;21120;Meteorólogos / Meteorólogas;CNME;Ciencias naturales, matemáticas y estadística;
2;21130;Químicos / Químicas;INQU;Industria química;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;CNME;Ciencias naturales, matemáticas y estadística;
2;21142;Gemólogos / Gemólogas;CNME;Ciencias naturales, matemáticas y estadística;
2;21143;Oceanógrafos / Oceanógrafas;CNME;Ciencias naturales, matemáticas y estadística;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;CNME;Ciencias naturales, matemáticas y estadística;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;CNME;Ciencias naturales, matemáticas y estadística;
2;21321;Agrónomos, agroecólogos, agrícolas, pecuarios y zootecnistas / Agrónomas, agroecólogas, agrícolas, pecuarias y zootecnistas;AGVE;Agropecuario, silvicultura, pesca, acuicultura y veterinaria;
2;21322;Silvicultores y forestales / Silvicultoras y forestales;AGVE;Agropecuario, silvicultura, pesca, acuicultura y veterinaria;
2;21323;Extensionistas agropecuarios y forestales de bosques naturales;AGVE;Agropecuario, silvicultura, pesca, acuicultura y veterinaria;
2;21331;Profesionales ambientales y ecologistas;CNME;Ciencias naturales, matemáticas y estadística;
2;21332;Profesionales en gestión de riesgo de desastres;CNME;Ciencias naturales, matemáticas y estadística;
2;21410;Ingenieros industriales y de producción / Ingenieras industriales y de producción;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;21420;Ingenieros civiles / Ingenieras civiles;COIF;Construcción e infraestructura;
2;21430;Ingenieros medioambientales / Ingenieras medioambientales;CPSA;Conservación, Protección y Saneamiento Ambiental;
2;21441;Ingenieros mecánicos / Ingenieras mecánicas;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;21442;Ingenieros navales / Ingenieras navales;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;21443;Ingenieros aeronáuticos / Ingenieras aeronáuticas;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;21450;Ingenieros químicos / Ingenieras químicas;INQU;Industria química;
2;21461;Ingenieros de minas / Ingenieras de minas;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
2;21462;Ingenieros metalúrgicos / Ingenieras metalúrgicas;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;21463;Ingenieros de petróleo y gas / Ingenieras de petróleo y gas;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
2;21491;Ingenieros de materiales / Ingenieras de materiales;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;21492;Ingenieros biomédicos y biológicos / Ingenieras biomédicas y biológicas;SABI;Salud Y Bienestar;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;21510;Ingenieros electricistas / Ingenieras electricistas;PEEL;Producción de energía y electricidad;
2;21521;Ingenieros electrónicos / Ingenieras electrónicas;ELCA;Electrónica y automatización;
2;21522;Ingenieros de automatización e instrumentación / Ingenieras de automatización e instrumentación;ELCA;Electrónica y automatización;
2;21531;Ingenieros de telecomunicaciones / Ingenieras de telecomunicaciones;TICO;Tecnologías de la información y las comunicaciones;
2;21532;Ingenieros y productores de audio y sonido / Ingenieras y productoras de audio y sonido;AVEM;Audiovisuales, Artes Escénicas y Música;
2;21610;Arquitectos / Arquitectas;COIF;Construcción e infraestructura;
2;21620;Arquitectos paisajistas / Arquitectas paisajistas;COIF;Construcción e infraestructura;
2;21631;Diseñadores industriales y de productos / Diseñadoras industriales y de productos;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;21632;Diseñadores de vestuario y moda / Diseñadoras de vestuario y moda;TCCD;Textil, cuero, confección y diseño de modas;
2;21633;Diseñadores de espacios / Diseñadoras de espacios;COIF;Construcción e infraestructura;
2;21634;Diseñadores de servicios / Diseñadoras de servicios;AFDE;Administración, finanzas y derecho;
2;21635;Diseñadores de iluminación / Diseñadoras de iluminación;COIF;Construcción E Infraestructura;
2;21640;Planificadores urbanos, regionales y de tránsito / Planificadoras urbanas, regionales y de tránsito;COIF;Construcción E Infraestructura;
2;21650;Cartógrafos e ingenieros topográficos y catastrales / Cartógrafas e ingenieras topográficas y catastrales;COIF;Construcción e infraestructura;
2;21661;Diseñadores gráficos / Diseñadoras gráficas;LIAG;Literatura y artes gráficas;
2;21662;Diseñadores de imágenes computarizadas e interacción digital / Diseñadoras de imágenes computarizadas e interacción digital;AVEM;Audiovisuales, Artes Escénicas y Música;
2;22110;Médicos generales / Médicas generales;SABI;Salud y bienestar;
2;22120;Médicos especialistas / Médicas especialistas;SABI;Salud y bienestar;
2;22210;Profesionales de enfermería;SABI;Salud y bienestar;
2;22300;Profesionales de medicina tradicional y alternativa;SABI;Salud y bienestar;
2;22401;Paramédicos / Paramédicas;SABI;Salud y bienestar;
2;22402;Instrumentadores quirúrgicos / Instrumentadoras quirúrgicas;SABI;Salud y bienestar;
2;22500;Veterinarios / Veterinarias;AGVE;Agropecuario, silvicultura, pesca, acuicultura y veterinaria;
2;22611;Odontólogos generales / Odontólogas generales;SABI;Salud y bienestar;
