"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Nivel de Competencia;
2;22210;Profesionales de enfermería;4;
2;22300;Profesionales de medicina tradicional y alternativa;4;
2;22401;Paramédicos / Paramédicas;4;
2;22402;Instrumentadores quirúrgicos / Instrumentadoras quirúrgicas;4;
2;22500;Veterinarios / Veterinarias;4;
2;22611;Odontólogos generales / Odontólogas generales;4;
2;22612;Odontólogos especialistas / Odontólogas especialistas;4;
2;22620;Farmacéuticos y químicos farmacéuticos / Farmacéuticas y químicas farmacéuticas;4;
2;22630;Profesionales de la salud y la higiene laboral y ambiental;4;
2;22640;Fisioterapeutas;4;
2;22650;Nutricionistas dietistas;4;
2;22660;Fonoaudiólogos y terapeutas del lenguaje / Fonoaudiólogas y terapeutas del lenguaje;4;
2;22670;Optómetras;4;
2;22691;Terapeutas ocupacionales;4;
2;22692;Profesionales en terapia respiratoria;4;
2;22693;Otros profesionales de terapia / Otras profesionales de terapia;4;
2;22699;Profesionales de la salud no clasificados en otras ocupaciones;4;
2;23100;Profesores de instituciones de educación superior / Profesoras de instituciones de educación superior;4;
2;23200;Profesores de formación profesional / Profesoras de formación profesional;4;
2;23300;Profesores de educación secundaria / Profesoras de educación secundaria;4;
2;23410;Profesores de educación básica primaria / Profesoras de educación básica primaria;4;
2;23420;Profesores de primera infancia y preescolar / Profesoras de primera infancia y preescolar;4;
2;23510;Especialistas en métodos y procesos pedagógicos;4;
2;23521;Profesores e instructores de educación especial e inclusiva / Profesoras e instructoras de educación especial e inclusiva;4;
2;23522;Pedagogos reeducadores / Pedagogas reeducadoras;4;
2;23530;Otros profesores de idiomas / Otras profesoras de idiomas;4;
2;23540;Otros profesores de música / Otras profesoras de música;4;
2;23550;Otros profesores de artes / Otras profesoras de artes;4;
2;23560;Instructores de tecnología de la información / Instructoras de tecnología de la información;4;
2;23591;Orientadores educativos / Orientadoras educativas;4;
2;23599;Otros profesionales de la educación no clasificados en otras ocupaciones / Otras profesionales de la educación no clasificados en otras ocupaciones;4;
2;24111;Contadores / Contadoras;4;
2;24112;Auditores financieros y contables / Auditoras financieras y contables;4;
2;24120;Asesores financieros y de inversiones / Asesoras financieras y de inversiones;4;
2;24130;Analistas financieros / Analistas financieras;4;
2;24210;Profesionales y analistas de gestión y organización;4;
2;24220;Profesionales en políticas sociales y de administración;4;
2;24231;Profesionales de talento humano;4;
2;24232;Consejeros de servicios de empleo / Consejeras de servicios de empleo;4;
2;24241;Profesionales de formación y desarrollo de personal;4;
2;24242;Evaluadores de competencias laborales / Evaluadoras de competencias laborales;4;
2;24311;Profesionales en mercadeo y publicidad;4;
2;24312;Administradores de comunidades virtuales / Administradoras de comunidades virtuales;3;
2;24313;Profesionales en negocios internacionales;4;
2;24320;Profesionales de relaciones públicas y comunicaciones;4;
2;24330;Profesionales de ventas técnicas y médicas (excluyendo las TIC);4;
2;24340;Profesionales de ventas de tecnología de la información y las comunicaciones;4;
2;25110;Analistas de sistemas;4;
2;25120;Desarrolladores de software / Desarrolladoras de software;4;
2;25130;Desarrolladores Web y multimedia / Desarrolladoras Web y multimedia;4;
2;25140;Programadores de aplicaciones / Programadoras de aplicaciones;4;
2;25190;Desarrolladores y analistas de software y multimedia no clasificados en otras ocupaciones / Desarrolladoras y analistas de software y multimedia no clasificadas en otras ocupaciones;4;
2;25210;Diseñadores y administradores de bases de datos / Diseñadoras y administradoras de bases de datos;4;
2;25220;Administradores de sistemas / Administradoras de sistemas;4;
2;25230;Profesionales en redes de computadores;4;
2;25290;Profesionales en bases de datos y en redes de computadores no clasificados en otras ocupaciones;4;
2;26110;Abogados / Abogadas;4;
2;26120;Jueces / Juezas;4;
2;26191;Profesionales en ciencias forenses;4;
2;26199;Profesionales en derecho no clasificados en otras ocupaciones;4;
2;26211;Archivistas;4;
2;26212;Curadores de artes visuales y plásticas y de patrimonio cultural / Curadoras de artes visuales y plásticas y de patrimonio cultural;4;
2;26213;Curadores y supervisores musicales / Curadoras y supervisoras musicales;3;
2;26214;Museólogos y museógrafos / Museólogas y museógrafas;4;
2;26215;Restauradores y conservadores de patrimonio cultural mueble / Restauradoras y conservadoras de patrimonio cultural mueble;4;
2;26216;Restauradores y conservadores de patrimonio cultural construido / Restauradoras y conservadoras de patrimonio cultural construido;4;
2;26219;Otros archivistas, curadores de arte y restauradores no clasificados en otras ocupaciones / Otras archivistas, curadoras de arte y restauradoras no clasificadas en otras ocupaciones;4;
2;26220;Bibliotecólogos, documentalistas y afines / Bibliotecólogas, documentalistas y afines;4;
2;26310;Economistas;4;
2;26320;Sociólogos, antropólogos y afines / Sociólogas, antropólogas y afines;4;
2;26330;Filósofos, historiadores y especialistas en ciencias políticas / Filósofas, historiadoras y especialistas en ciencias políticas;4;
2;26340;Psicólogos / Psicólogas;3;
2;26351;Profesionales del trabajo social y consejeros;4;
2;26352;Gestores de recursos y donaciones / Gestoras de recursos y donaciones;4;
2;26360;Profesionales religiosos y ministros de culto / Profesionales religiosas y ministras de culto;4;
2;26410;Autores y otros escritores / Autoras y otras escritoras;4;
2;26421;Periodistas;4;
2;26422;Editores y redactores / Editoras y redactoras;4;
2;26431;Traductores, intérpretes y lingüistas / Traductoras, intérpretes y lingüistas;4;
2;26432;Traductores e intérpretes de lenguas nativas / Traductoras e intérpretes de lenguas nativas;4;
2;26433;Intérpretes de lengua de señas;3;
2;26434;Guías-intérpretes;3;
2;26511;Artistas plásticos y visuales / Artistas plásticas y visuales;4;
2;26512;Ilustradores artísticos / Ilustradoras artísticas;3;
2;26521;Intérpretes musicales;4;
2;26522;Directores e investigadores musicales / Directoras e investigadoras musicales;4;
2;26523;Autores y compositores musicales / Autoras y compositoras musicales;4;
2;26524;Ejecutantes musicales;2;
