"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;ID;Nombre del Conocimiento;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;1;Gerencia y administración;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;6;Gestión del talento humano y de personal;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;23;Idioma extranjero;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;28;Leyes y gobierno;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;85;Seguridad y salud en el trabajo;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;5;Servicio al cliente;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;2;Servicios de oficina y administrativos;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;32;Contabilidad e impuestos;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;1;Gerencia y administración;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;6;Gestión del talento humano y de personal;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;28;Leyes y gobierno;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;14;Matemáticas;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;5;Servicio al cliente;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;2;Servicios de oficina y administrativos;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;1;Gerencia y administración;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;6;Gestión del talento humano y de personal;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;38;Mantenimiento;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;5;Servicio al cliente;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;2;Servicios de oficina y administrativos;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;17;Biología;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;9;Computadoras, electrónica y automatización;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;3;Economía;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;20;Geografía y territorio;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;1;Gerencia y administración;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;7;Producción y procesamiento;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;85;Seguridad y salud en el trabajo;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;1;Gerencia y administración;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;6;Gestión del talento humano y de personal;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;36;Manejo de las TIC;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;4;Mercadotecnia y publicidad;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;30;Periodismo, comunicación y reportajes;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;5;Servicio al cliente;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;2;Servicios de oficina y administrativos;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;1;Gerencia y administración;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;28;Leyes y gobierno;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;36;Manejo de las TIC;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;4;Mercadotecnia y publicidad;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;5;Servicio al cliente;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;2;Servicios de oficina y administrativos;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;1;Gerencia y administración;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;28;Leyes y gobierno;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;36;Manejo de las TIC;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;4;Mercadotecnia y publicidad;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;30;Periodismo, comunicación y reportajes;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;5;Servicio al cliente;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;2;Servicios de oficina y administrativos;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;1;Gerencia y administración;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;6;Gestión del talento humano y de personal;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;23;Idioma extranjero;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;10;Ingeniería y tecnología;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;28;Leyes y gobierno;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;36;Manejo de las TIC;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;5;Servicio al cliente;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;1;Gerencia y administración;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;6;Gestión del talento humano y de personal;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;72;Horticultura (técnicas de huertas, invernaderos, viveros y jardines);
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;8;Procesamiento de alimentos;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;98;Producción agrícola y pecuaria;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;7;Producción y procesamiento;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;5;Servicio al cliente;
1;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;83;Acuicultura y pesca;
1;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;17;Biología;
1;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;1;Gerencia y administración;
1;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;14;Matemáticas;
1;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;8;Procesamiento de alimentos;
1;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;5;Servicio al cliente;
1;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;2;Servicios de oficina y administrativos;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;11;Diseño;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;1;Gerencia y administración;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;6;Gestión del talento humano y de personal;
