"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Código de la Ocupación Afin;Nombre de la Ocupación Afin;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;24231;Profesionales de talento humano;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;11120;Directores del gobierno / Directoras del gobierno;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;51510;Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos / Supervisoras de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;24210;Profesionales y analistas de gestión y organización;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;24231;Profesionales de talento humano;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;51510;Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos / Supervisoras de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos;
1;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;
1;12212;Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior;14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;
1;13120;Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31221;Supervisores de procesamiento de alimentos y bebidas / Supervisoras de procesamiento de alimentos y bebidas;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31222;Supervisores de fabricación y procesamiento de productos de plástico y caucho / Supervisoras de fabricación y procesamiento de productos de plástico y caucho;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31223;Supervisores de procesamiento de la madera y producción de pulpa y papel / Supervisoras de procesamiento de la madera y producción de pulpa y papel;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31224;Supervisores de ensamble de vehículos de motor / Supervisoras de ensamble de vehículos de motor;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31225;Supervisores de impresión y ocupaciones relacionadas / Supervisoras de impresión y ocupaciones relacionadas;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31226;Supervisores de fabricación y tratamiento de productos mecánicos, metálicos y minerales / Supervisoras de fabricación y tratamiento de productos mecánicos, metálicos y minerales;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31227;Supervisores de fabricación y procesamiento de productos textiles, cuero y piel / Supervisoras de fabricación y procesamiento de productos textiles, cuero y piel;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31228;Supervisores de fabricación de productos eléctricos y electrónicos / Supervisoras de fabricación de productos eléctricos y electrónicos;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;31229;Supervisores de industrias manufactureras no clasificadas en otras ocupaciones / Supervisoras de industrias manufactureras no clasificadas en otras ocupaciones;
1;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;11120;Directores del gobierno / Directoras del gobierno;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;
1;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;13452;Directores y administradores de instituciones de educación y formación / Directoras y administradoras de instituciones de educación y formación;
1;13452;Directores y administradores de instituciones de educación y formación / Directoras y administradoras de instituciones de educación y formación;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;
1;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;12111;Directores y gerentes financieros / Directoras y gerentas financieras;
1;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;
1;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;
1;13491;Directores y gerentes de archivo, biblioteca, museo y galería de arte / Directoras y gerentas de archivo, biblioteca, museo y galería de arte;14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;
1;13492;Directores y gerentes de servicios y procesos de negocio / Directoras y gerentes de servicios y procesos de negocio;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;54111;Oficiales de bomberos;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;54121;Oficiales de policía;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;54131;Oficiales del cuerpo de custodia y vigilancia;
1;14110;Directores y gerentes de servicios hoteleros y hospedaje / Directoras y gerentes de servicios hoteleros y hospedaje;51520;Ecónomos y mayordomos domésticos / Ecónomas y mayordomas domésticas;
1;14120;Gerentes y administradores de servicios de alimentos y restaurantes / Gerentas y administradoras de servicios de alimentos y restaurantes;51321;Bartenders;
1;14120;Gerentes y administradores de servicios de alimentos y restaurantes / Gerentas y administradoras de servicios de alimentos y restaurantes;51322;Baristas;
1;14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;12211;Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo;
1;14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;52210;Comerciantes de tiendas;
1;14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;52220;Supervisores de tiendas y almacenes / Supervisoras de tiendas y almacenes;
1;14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;
1;14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;
