Código del Gran Grupo;Nombre del Gran Grupo;Código del Subgrupo Principal;Nombre del Subgrupo Principal;Código del Subgrupo;Nombre del Subgrupo;Código del Grupo Primario;Nombre del Grupo Primario;Código de la Ocupación;Nombre de la Ocupación;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;132;Directores de industrias manufactureras, minería, construcción y distribución;1321;Directores y gerentes de industrias manufactureras;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;132;Directores de industrias manufactureras, minería, construcción y distribución;1322;Directores y gerentes de producción primaria (excepto agricultura);13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;132;Directores de industrias manufactureras, minería, construcción y distribución;1323;Directores y gerentes de empresas de construcción;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;132;Directores de industrias manufactureras, minería, construcción y distribución;1324;Directores y gerentes de abastecimiento, distribución, transporte y afines;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;132;Directores de industrias manufactureras, minería, construcción y distribución;1324;Directores y gerentes de abastecimiento, distribución, transporte y afines;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;132;Directores de industrias manufactureras, minería, construcción y distribución;1324;Directores y gerentes de abastecimiento, distribución, transporte y afines;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;132;Directores de industrias manufactureras, minería, construcción y distribución;1324;Directores y gerentes de abastecimiento, distribución, transporte y afines;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;133;Directores de servicios de tecnología de la información y las comunicaciones;1330;Directores de servicios de tecnología de la información y las comunicaciones;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;133;Directores de servicios de tecnología de la información y las comunicaciones;1330;Directores de servicios de tecnología de la información y las comunicaciones;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;133;Directores de servicios de tecnología de la información y las comunicaciones;1330;Directores de servicios de tecnología de la información y las comunicaciones;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1341;Directores y gerentes de servicios de cuidados infantiles;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1342;Directores y gerentes de servicios de salud;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1343;Directores y gerentes de servicios de atención a personas mayores;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1344;Directores y gerentes de servicios de bienestar social, comunitario y correccional;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1345;Directores y gerentes de programas y servicios de educación;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1345;Directores y gerentes de programas y servicios de educación;13452;Directores y administradores de instituciones de educación y formación / Directoras y administradoras de instituciones de educación y formación;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1346;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1349;Directores y gerentes de servicios profesionales no clasificados en otros grupos primarios;13491;Directores y gerentes de archivo, biblioteca, museo y galería de arte / Directoras y gerentas de archivo, biblioteca, museo y galería de arte;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1349;Directores y gerentes de servicios profesionales no clasificados en otros grupos primarios;13492;Directores y gerentes de servicios y procesos de negocio / Directoras y gerentes de servicios y procesos de negocio;
1;DIRECTORES Y GERENTES;13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS;134;Directores y gerentes de servicios profesionales;1349;Directores y gerentes de servicios profesionales no clasificados en otros grupos primarios;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;
1;DIRECTORES Y GERENTES;14;GERENTES DE HOTELES, RESTAURANTES, COMERCIOS Y OTROS SERVICIOS;141;Gerentes de hoteles y restaurantes;1411;Directores y gerentes de servicios hoteleros y hospedaje;14110;Directores y gerentes de servicios hoteleros y hospedaje / Directoras y gerentes de servicios hoteleros y hospedaje;
1;DIRECTORES Y GERENTES;14;GERENTES DE HOTELES, RESTAURANTES, COMERCIOS Y OTROS SERVICIOS;141;Gerentes de hoteles y restaurantes;1412;Gerentes y administradores de servicios de alimentos y restaurantes;14120;Gerentes y administradores de servicios de alimentos y restaurantes / Gerentas y administradoras de servicios de alimentos y restaurantes;
1;DIRECTORES Y GERENTES;14;GERENTES DE HOTELES, RESTAURANTES, COMERCIOS Y OTROS SERVICIOS;142;Gerentes de comercios al por mayor y al por menor;1420;Gerentes de comercios al por mayor y al por menor;14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;
1;DIRECTORES Y GERENTES;14;GERENTES DE HOTELES, RESTAURANTES, COMERCIOS Y OTROS SERVICIOS;143;Otros gerentes de servicios;1431;Directores y gerentes de deportes, esparcimiento y cultura;14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;
1;DIRECTORES Y GERENTES;14;GERENTES DE HOTELES, RESTAURANTES, COMERCIOS Y OTROS SERVICIOS;143;Otros gerentes de servicios;1431;Directores y gerentes de deportes, esparcimiento y cultura;14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;
1;DIRECTORES Y GERENTES;14;GERENTES DE HOTELES, RESTAURANTES, COMERCIOS Y OTROS SERVICIOS;143;Otros gerentes de servicios;1439;Otros gerentes y administradores de servicios no clasificados en otros grupos primarios;14391;Gerentes y administradores de propiedad horizontal / Gerentas y administradoras de propiedad horizontal;
1;DIRECTORES Y GERENTES;14;GERENTES DE HOTELES, RESTAURANTES, COMERCIOS Y OTROS SERVICIOS;143;Otros gerentes de servicios;1439;Otros gerentes y administradores de servicios no clasificados en otros grupos primarios;14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;211;Físicos, químicos y afines;2111;Físicos y astrónomos;21110;Físicos y astrónomos / Físicas y astrónomas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;211;Físicos, químicos y afines;2112;Meteorólogos;21120;Meteorólogos / Meteorólogas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;211;Físicos, químicos y afines;2113;Químicos;21130;Químicos / Químicas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;211;Físicos, químicos y afines;2114;Geólogos, geofísicos y geoquímicos;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;211;Físicos, químicos y afines;2114;Geólogos, geofísicos y geoquímicos;21142;Gemólogos / Gemólogas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;211;Físicos, químicos y afines;2114;Geólogos, geofísicos y geoquímicos;21143;Oceanógrafos / Oceanógrafas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;212;Matemáticos, actuarios y estadísticos;2120;Matemáticos, actuarios y estadísticos;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;213;Profesionales en ciencias biológicas;2131;Biólogos, botánicos, zoólogos y afines;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;
