Código del Gran Grupo;Nombre del Gran Grupo;Código del Subgrupo Principal;Nombre del Subgrupo Principal;Código del Subgrupo;Nombre del Subgrupo;Código del Grupo Primario;Nombre del Grupo Primario;Código de la Ocupación;Nombre de la Ocupación;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3111;Técnicos en ciencias de la tierra, físicas y químicas;31113;Técnicos en meteorología / Técnicas en meteorología;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3111;Técnicos en ciencias de la tierra, físicas y químicas;31114;Técnicos en metrología / Técnicas en metrología;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3111;Técnicos en ciencias de la tierra, físicas y químicas;31115;Auxiliares de laboratorio;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3112;Técnicos en ingeniería civil;31121;Técnicos en construcción y arquitectura / Técnicas en construcción y arquitectura;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3112;Técnicos en ingeniería civil;31122;Técnicos en topografía / Técnicas en topografía;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3112;Técnicos en ingeniería civil;31123;Técnicos en cartografía / Técnicas en cartografía;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3113;Técnicos en electricidad;31130;Técnicos en electricidad / Técnicas en electricidad;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3114;Técnicos en electrónica, automatización e instrumentación;31141;Técnicos en electrónica / Técnicas en electrónica;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3114;Técnicos en electrónica, automatización e instrumentación;31142;Técnicos en automatización e instrumentación / Técnicas en automatización e instrumentación;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3115;Técnicos en ingeniería mecánica;31150;Técnicos en ingeniería mecánica / Técnicas en ingeniería mecánica;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3116;Técnicos en química industrial;31160;Técnicos en química industrial / Técnicas en química industrial;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3117;Técnicos de minas y metalurgia;31171;Técnicos de minas y metalurgia / Técnicas de minas y metalurgia;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3117;Técnicos de minas y metalurgia;31172;Operarios de exploración geofísica y geológica / Operarias de exploración geofísica y geológica;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3118;Delineantes y dibujantes técnicos;31181;Delineantes y dibujantes técnicos / Delineantes y dibujantes técnicas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3118;Delineantes y dibujantes técnicos;31182;Auxiliares de producción gráfica;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3118;Delineantes y dibujantes técnicos;31183;Graficadores de imágenes computarizadas / Graficadoras de imágenes computarizadas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3119;Técnicos en ciencias físicas y en ingeniería no clasificados en otros grupos primarios;31191;Técnicos en fabricación industrial / Técnicas en fabricación industrial;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;311;Técnicos en ciencias físicas y en ingeniería;3119;Técnicos en ciencias físicas y en ingeniería no clasificados en otros grupos primarios;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3121;Supervisores de minas y perforación;31211;Supervisores de minería y canteras / Supervisoras de minería y canteras;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3121;Supervisores de minas y perforación;31212;Supervisores de perforación y servicio a pozos de petróleo y gas / Supervisoras de perforación y servicio a pozos de petróleo y gas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3121;Supervisores de minas y perforación;31213;Supervisores y analistas de producción de hidrocarburos / Supervisoras y analistas de producción de hidrocarburos;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31221;Supervisores de procesamiento de alimentos y bebidas / Supervisoras de procesamiento de alimentos y bebidas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31222;Supervisores de fabricación y procesamiento de productos de plástico y caucho / Supervisoras de fabricación y procesamiento de productos de plástico y caucho;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31223;Supervisores de procesamiento de la madera y producción de pulpa y papel / Supervisoras de procesamiento de la madera y producción de pulpa y papel;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31224;Supervisores de ensamble de vehículos de motor / Supervisoras de ensamble de vehículos de motor;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31225;Supervisores de impresión y ocupaciones relacionadas / Supervisoras de impresión y ocupaciones relacionadas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31226;Supervisores de fabricación y tratamiento de productos mecánicos, metálicos y minerales / Supervisoras de fabricación y tratamiento de productos mecánicos, metálicos y minerales;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31227;Supervisores de fabricación y procesamiento de productos textiles, cuero y piel / Supervisoras de fabricación y procesamiento de productos textiles, cuero y piel;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31228;Supervisores de fabricación de productos eléctricos y electrónicos / Supervisoras de fabricación de productos eléctricos y electrónicos;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3122;Supervisores de industrias manufactureras;31229;Supervisores de industrias manufactureras no clasificadas en otras ocupaciones / Supervisoras de industrias manufactureras no clasificadas en otras ocupaciones;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3123;Supervisores de la construcción, maestros generales de obra, instalación y reparación;31231;Supervisores de la construcción, maestros generales de obra, instalación y reparación / Supervisoras de la construcción, maestros generales de obra, instalación y reparación;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;312;Supervisores en la minería, la industria manufacturera y la construcción;3123;Supervisores de la construcción, maestros generales de obra, instalación y reparación;31232;Inspectores de sistemas e instalaciones de gas / Inspectoras de sistemas e instalaciones de gas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;313;Técnicos en control de procesos;3131;Operadores de plantas de generación y distribución de energía;31310;Operadores de plantas de generación y distribución de energía / Operadoras de plantas de generación y distribución de energía;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;313;Técnicos en control de procesos;3132;Operadores de incineradores, instalaciones de tratamiento de agua y desechos;31321;Operadores de plantas de tratamiento de agua / Operadoras de plantas de tratamiento de agua;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;313;Técnicos en control de procesos;3132;Operadores de incineradores, instalaciones de tratamiento de agua y desechos;31322;Operadores de incineradores, de hornos crematorios y de rellenos sanitarios / Operadoras de incineradores, de hornos crematorios y de rellenos sanitarios;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;313;Técnicos en control de procesos;3133;Controladores de instalaciones de procesamiento de productos químicos;31330;Controladores de instalaciones de procesamiento de productos químicos / Controladoras de instalaciones de procesamiento de productos químicos;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;313;Técnicos en control de procesos;3134;Operadores e inspectores de instalaciones de refinación de petróleo y gas natural;31341;Operadores de instalaciones de refinación de petróleo y gas natural / Operadoras de instalaciones de refinación de petróleo y gas natural;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;313;Técnicos en control de procesos;3134;Operadores e inspectores de instalaciones de refinación de petróleo y gas natural;31342;Inspectores de oleoductos y gasoductos / Inspectoras de oleoductos y gasoductos;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;313;Técnicos en control de procesos;3135;Controladores de procesos de producción y tratamiento de metales;31350;Controladores de procesos de producción y tratamiento de metales / Controladoras de procesos de producción y tratamiento de metales;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;313;Técnicos en control de procesos;3139;Técnicos en control de procesos no clasificados en otros grupos primarios;31390;Técnicos en control de procesos no clasificados en otras ocupaciones / Técnicas en control de procesos no clasificados en otras ocupaciones;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3141;Técnicos en ciencias biológicas (excluyendo la medicina);31410;Técnicos en ciencias biológicas (excluyendo la medicina) / Técnicas en ciencias biológicas (excluyendo la medicina);
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3142;Técnicos, supervisores e inspectores agropecuarios;31421;Técnicos agropecuarios / Técnicas agropecuarias;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3142;Técnicos, supervisores e inspectores agropecuarios;31422;Inspectores de productos agrícola, pecuarios y de pesca / Inspectoras de productos agrícola, pecuarios y de pesca;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3142;Técnicos, supervisores e inspectores agropecuarios;31423;Inspectores de riego agrícola / Inspectoras de riego agrícola;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3142;Técnicos, supervisores e inspectores agropecuarios;31424;Supervisores de producción agrícola / Supervisoras de producción agrícola;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3142;Técnicos, supervisores e inspectores agropecuarios;31425;Supervisores de producción pecuaria / Supervisoras de producción pecuaria;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3142;Técnicos, supervisores e inspectores agropecuarios;31426;Promotores de servicios agrícolas y relacionados / Promotoras de servicios agrícolas y relacionados;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3143;Técnicos forestales;31431;Técnicos forestales y de recursos naturales / Técnicas forestales y de recursos naturales;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;3143;Técnicos forestales;31432;Supervisores de explotación forestal y silvicultura / Supervisoras de explotación forestal y silvicultura;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;315;Técnicos y controladores en navegación marítima y aeronáutica;3151;Oficiales maquinistas en navegación;31510;Oficiales maquinistas en navegación;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;315;Técnicos y controladores en navegación marítima y aeronáutica;3152;Capitanes y oficiales de cubierta;31520;Capitanes y oficiales de cubierta;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;315;Técnicos y controladores en navegación marítima y aeronáutica;3153;Pilotos, ingenieros e instructores de vuelo;31530;Pilotos, ingenieros e instructores de vuelo;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;315;Técnicos y controladores en navegación marítima y aeronáutica;3154;Controladores de tráfico aéreo, marítimo y ferroviario;31540;Controladores de tráfico aéreo, marítimo y ferroviario / Controladoras de tráfico aéreo, marítimo y ferroviario;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;31;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;315;Técnicos y controladores en navegación marítima y aeronáutica;3155;Técnicos en seguridad aeronáutica e instrumentos de aeronavegación;31550;Técnicos en seguridad aeronáutica e instrumentos de aeronavegación / Técnicas en seguridad aeronáutica e instrumentos de aeronavegación;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3211;Técnicos en aparatos de diagnóstico y tratamiento médico;32111;Técnicos y tecnólogos en imágenes diagnósticas / Técnicas y tecnólogas en imágenes diagnósticas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3211;Técnicos en aparatos de diagnóstico y tratamiento médico;32112;Técnicos y tecnólogos en radioterapia / Técnicas y tecnólogas en radioterapia;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3211;Técnicos en aparatos de diagnóstico y tratamiento médico;32113;Técnicos y tecnólogos en medicina nuclear / Técnicas y tecnólogas en medicina nuclear;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3211;Técnicos en aparatos de diagnóstico y tratamiento médico;32119;Otros técnicos en aparatos de diagnóstico y tratamiento médico no clasificados en otras ocupaciones / Otras técnicas en aparatos de diagnóstico y tratamiento médico no clasificados en otras ocupaciones;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3212;Técnicos de laboratorios médicos;32120;Técnicos de laboratorios médicos / Técnicas de laboratorios médicos;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3213;Técnicos y asistentes farmacéuticos;32130;Técnicos y asistentes farmacéuticos / Técnicas y asistentes farmacéuticas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3214;Técnicos de prótesis médicas y dentales;32141;Técnicos en mecánica dental / Técnicas en mecánica dental;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3214;Técnicos de prótesis médicas y dentales;32142;Técnicos de órtesis y prótesis médicas / Técnicas de órtesis y prótesis médicas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;321;Técnicos médicos y farmacéuticos;3222;Técnicos y profesionales del nivel medio en partería tradicional;32220;Técnicos y profesionales del nivel medio en partería tradicional / Técnicas y profesionales del nivel medio en partería tradicional;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;323;Técnicos y profesionales del nivel medio en medicina tradicional y alternativa;3230;Técnicos y profesionales del nivel medio en medicina tradicional y alternativa;32301;Técnicos y profesionales del nivel medio en medicina alternativa / Técnicas y profesionales del nivel medio en medicina alternativa;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;323;Técnicos y profesionales del nivel medio en medicina tradicional y alternativa;3230;Técnicos y profesionales del nivel medio en medicina tradicional y alternativa;32302;Practicantes de medicina tradicional ancestral / Practicantas de medicina tradicional ancestral;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3240;Técnicos y asistentes veterinarios;32400;Técnicos y asistentes veterinarios / Técnicas y asistentes veterinarias;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3252;Técnicos en documentación sanitaria;32520;Técnicos en documentación sanitaria / Técnicas en documentación sanitaria;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3253;Trabajadores comunitarios de la salud;32530;Trabajadores comunitarios de la salud / Trabajadoras comunitarias de la salud;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3254;Técnicos en óptica;32540;Técnicos en óptica / Técnicas en óptica;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3255;Técnicos y asistentes terapeutas;32550;Técnicos y asistentes terapeutas / Técnicas y asistentes terapeutas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3256;Asistentes médicos;32560;Asistentes médicos / Asistentas médicas;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3257;Inspectores de seguridad, salud ocupacional, medioambiental y afines;32571;Inspectores de sanidad, seguridad y salud en el trabajo / Inspectoras de sanidad, seguridad y salud en el trabajo;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3257;Inspectores de seguridad, salud ocupacional, medioambiental y afines;32572;Coordinadores de sistemas integrados de gestión / Coordinadoras de sistemas integrados de gestión;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3257;Inspectores de seguridad, salud ocupacional, medioambiental y afines;32573;Técnicos en prevención, gestión y control ambiental / Técnicas en prevención, gestión y control ambiental;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3257;Inspectores de seguridad, salud ocupacional, medioambiental y afines;32574;Asistentes en saneamiento ambiental / Asistentas en saneamiento ambiental;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3258;Técnicos en atención prehospitalaria;32580;Técnicos en atención prehospitalaria / Técnicas en atención prehospitalaria;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD;324;Técnicos y asistentes veterinarios;3259;Otros técnicos y profesionales del nivel medio de la salud no clasificados en otros grupos primarios;32590;Otros técnicos y profesionales del nivel medio de la salud no clasificados en otras ocupaciones / Otras técnicas y profesionales del nivel medio de la salud no clasificadas en otras ocupaciones;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;33;TECNICOS Y PROFESIONALES DEL NIVEL MEDIO EN LAS FINANZAS Y LA ADMINISTRACION;331;Técnicos y profesionales del nivel medio en finanzas y matemáticas;3311;Agentes de bolsa, cambio y otros servicios financieros;33110;Agentes de bolsa, cambio y otros servicios financieros;
3;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO;33;TECNICOS Y PROFESIONALES DEL NIVEL MEDIO EN LAS FINANZAS Y LA ADMINISTRACION;331;Técnicos y profesionales del nivel medio en finanzas y matemáticas;3312;Analistas y asistentes financieros préstamos y créditos;33120;Analistas y asistentes financieros en préstamos y créditos / Analistas y asistentes financieras en préstamos y créditos;
