"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Complementaria;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;AVEM;Audiovisuales, y artes escénicas y música;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;CNME;Ciencias naturales, matemáticas y estadística;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;INQU;Industria química;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;LIAG;Literatura y artes gráficas;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;LOTR;Logística y transporte;
1;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;SEGU;Seguridad;
1;14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;COMP;Comercio, mercadeo y publicidad;
1;14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;SEPC;Servicios Personales y a la Comunidad;
1;14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;AFIR;Actividades físicas, deportivas y recreativas;
1;14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;AVEM;Audiovisuales, y artes escénicas y música;
1;14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;COMP;Comercio, mercadeo y publicidad;
1;14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;SEPC;Servicios Personales y a la Comunidad;
1;14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;EDFO;Educación y formación;
1;14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;SEPC;Servicios Personales y a la Comunidad;
1;14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;TUHG;Turismo, hotelería y gastronomía;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
2;21142;Gemólogos / Gemólogas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;AGVE;Agropecuario, silvicultura, pesca, acuicultura y veterinaria;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;INQU;Industria química;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;SABI;Salud y bienestar;
2;21331;Profesionales ambientales y ecologistas;CPSA;Conservación, protección y saneamiento ambiental;
2;21332;Profesionales en gestión de riesgo de desastres;CPSA;Conservación, protección y saneamiento ambiental;
2;21332;Profesionales en gestión de riesgo de desastres;SEGU;Seguridad;
2;21332;Profesionales en gestión de riesgo de desastres;COIF;Construcción e infraestructura;
2;21332;Profesionales en gestión de riesgo de desastres;CISH;Ciencias sociales y humanidades;
2;21410;Ingenieros industriales y de producción / Ingenieras industriales y de producción;AFDE;Administración, finanzas y derecho;
2;21410;Ingenieros industriales y de producción / Ingenieras industriales y de producción;LOTR;Logística y transporte;
2;21420;Ingenieros civiles / Ingenieras civiles;LOTR;Logística y transporte;
2;21430;Ingenieros medioambientales / Ingenieras medioambientales;CNME;Ciencias naturales, matemáticas y estadística;
2;21430;Ingenieros medioambientales / Ingenieras medioambientales;CPSA;Conservación, protección y saneamiento ambiental;
2;21430;Ingenieros medioambientales / Ingenieras medioambientales;PEEL;Producción de energía y electricidad;
2;21443;Ingenieros aeronáuticos / Ingenieras aeronáuticas;ELCA;Electrónica y automatización;
2;21450;Ingenieros químicos / Ingenieras químicas;ETAL;Elaboración y transformación de alimentos;
2;21450;Ingenieros químicos / Ingenieras químicas;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
2;21450;Ingenieros químicos / Ingenieras químicas;TCCD;Textil, cuero, confección y diseño de modas;
2;21462;Ingenieros metalúrgicos / Ingenieras metalúrgicas;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
2;21491;Ingenieros de materiales / Ingenieras de materiales;TCCD;Textil, cuero, confección y diseño de modas;
2;21491;Ingenieros de materiales / Ingenieras de materiales;TMFM;Transformación de la madera y fabricación de muebles;
2;21491;Ingenieros de materiales / Ingenieras de materiales;COIF;Construcción e infraestructura;
2;21491;Ingenieros de materiales / Ingenieras de materiales;INQU;Industria química;
2;21492;Ingenieros biomédicos y biológicos / Ingenieras biomédicas y biológicas;CNME;Ciencias naturales, matemáticas y estadística;
2;21492;Ingenieros biomédicos y biológicos / Ingenieras biomédicas y biológicas;ELCA;Electrónica y automatización;
2;21492;Ingenieros biomédicos y biológicos / Ingenieras biomédicas y biológicas;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
