code,municipality,type
63470,MONTENEGRO,Municipio
63548,PIJAO,Municipio
63594,QUIMBAYA,Municipio
63690,SALENTO,Municipio
66001,PEREIRA,Municipio
66045,APÍA,Municipio
66075,BALBOA,Municipio
66088,BELÉN DE UMBRÍA,Municipio
66170,DOSQUEBRADAS,Municipio
66318,GUÁTICA,Municipio
66383,LA CELIA,Municipio
66400,LA VIRGINIA,Municipio
66440,MARSELLA,Municipio
66456,MISTRATÓ,Municipio
66572,PUEBLO RICO,Municipio
66594,QUINCHÍA,Municipio
66682,SANTA ROSA DE CABAL,Municipio
66687,SANTUARIO,Municipio
68001,BUCARAMANGA,Municipio
68013,AGUADA,Municipio
68020,ALBANIA,Municipio
68051,ARATOCA,Municipio
68077,BARBOSA,Municipio
68079,BARICHARA,Municipio
68081,BARRANCABERMEJA,Municipio
68092,BETULIA,Municipio
68101,BOLÍVAR,Municipio
68121,CABRERA,Municipio
68132,CALIFORNIA,Municipio
68147,CAPITANEJO,Municipio
68152,CARCASÍ,Municipio
68160,CEPITÁ,Municipio
68162,CERRITO,Municipio
68167,CHARALÁ,Municipio
68169,CHARTA,Municipio
68176,CHIMA,Municipio
68179,CHIPATÁ,Municipio
68190,CIMITARRA,Municipio
68207,CONCEPCIÓN,Municipio
68209,CONFINES,Municipio
68211,CONTRATACIÓN,Municipio
68217,COROMORO,Municipio
68229,CURITÍ,Municipio
68235,EL CARMEN DE CHUCURÍ,Municipio
68245,EL GUACAMAYO,Municipio
68250,EL PEÑÓN,Municipio
68255,EL PLAYÓN,Municipio
68264,ENCINO,Municipio
68266,ENCISO,Municipio
68271,FLORIÁN,Municipio
68276,FLORIDABLANCA,Municipio
68296,GALÁN,Municipio
68298,GÁMBITA,Municipio
68307,GIRÓN,Municipio
68318,GUACA,Municipio
68320,GUADALUPE,Municipio
68322,GUAPOTÁ,Municipio
68324,GUAVATÁ,Municipio
68327,GÜEPSA,Municipio
68344,HATO,Municipio
68368,JESÚS MARÍA,Municipio
68370,JORDÁN,Municipio
68377,LA BELLEZA,Municipio
68385,LANDÁZURI,Municipio
68397,LA PAZ,Municipio
68406,LEBRIJA,Municipio
68418,LOS SANTOS,Municipio
68425,MACARAVITA,Municipio
68432,MÁLAGA,Municipio
68444,MATANZA,Municipio
68464,MOGOTES,Municipio
68468,MOLAGAVITA,Municipio
68498,OCAMONTE,Municipio
68500,OIBA,Municipio
68502,ONZAGA,Municipio
68522,PALMAR,Municipio
68524,PALMAS DEL SOCORRO,Municipio
68533,PÁRAMO,Municipio
68547,PIEDECUESTA,Municipio
68549,PINCHOTE,Municipio
68572,PUENTE NACIONAL,Municipio
68573,PUERTO PARRA,Municipio
68575,PUERTO WILCHES,Municipio
68615,RIONEGRO,Municipio
68655,SABANA DE TORRES,Municipio
68669,SAN ANDRÉS,Municipio
68673,SAN BENITO,Municipio
68679,SAN GIL,Municipio
68682,SAN JOAQUÍN,Municipio
68684,SAN JOSÉ DE MIRANDA,Municipio
68686,SAN MIGUEL,Municipio
68689,SAN VICENTE DE CHUCURÍ,Municipio
68705,SANTA BÁRBARA,Municipio
68720,SANTA HELENA DEL OPÓN,Municipio
68745,SIMACOTA,Municipio
68755,SOCORRO,Municipio
68770,SUAITA,Municipio
68773,SUCRE,Municipio
68780,SURATÁ,Municipio
68820,TONA,Municipio
68855,VALLE DE SAN JOSÉ,Municipio
68861,VÉLEZ,Municipio
68867,VETAS,Municipio
68872,VILLANUEVA,Municipio
68895,ZAPATOCA,Municipio
70001,SINCELEJO,Municipio
70110,BUENAVISTA,Municipio
70124,CAIMITO,Municipio
70204,COLOSÓ,Municipio
70215,COROZAL,Municipio
70221,COVEÑAS,Municipio
70230,CHALÁN,Municipio
70233,EL ROBLE,Municipio
70235,GALERAS,Municipio
70265,GUARANDA,Municipio
70400,LA UNIÓN,Municipio
70418,LOS PALMITOS,Municipio
70429,MAJAGUAL,Municipio
70473,MORROA,Municipio
70508,OVEJAS,Municipio
70523,PALMITO,Municipio
70670,SAMPUÉS,Municipio
70678,SAN BENITO ABAD,Municipio
70702,SAN JUAN DE BETULIA,Municipio
70708,SAN MARCOS,Municipio
70713,SAN ONOFRE,Municipio
70717,SAN PEDRO,Municipio
70742,SAN LUIS DE SINCÉ,Municipio
70771,SUCRE,Municipio
70820,SANTIAGO DE TOLÚ,Municipio
70823,TOLÚ VIEJO,Municipio
73001,IBAGUÉ,Municipio
73024,ALPUJARRA,Municipio
73026,ALVARADO,Municipio
73030,AMBALEMA,Municipio
73043,ANZOÁTEGUI,Municipio
73055,ARMERO,Municipio
73067,ATACO,Municipio
73124,CAJAMARCA,Municipio
73148,CARMEN DE APICALÁ,Municipio
73152,CASABIANCA,Municipio
73168,CHAPARRAL,Municipio
73200,COELLO,Municipio
73217,COYAIMA,Municipio
73226,CUNDAY,Municipio
73236,DOLORES,Municipio
73268,ESPINAL,Municipio
73270,FALAN,Municipio
73275,FLANDES,Municipio
73283,FRESNO,Municipio
73319,GUAMO,Municipio
73347,HERVEO,Municipio
73349,HONDA,Municipio
73352,ICONONZO,Municipio
73408,LÉRIDA,Municipio
73411,LÍBANO,Municipio
73443,SAN SEBASTIÁN DE MARIQUITA,Municipio
73449,MELGAR,Municipio
73461,MURILLO,Municipio
73483,NATAGAIMA,Municipio
73504,ORTEGA,Municipio
73520,PALOCABILDO,Municipio
73547,PIEDRAS,Municipio
73555,PLANADAS,Municipio
73563,PRADO,Municipio
73585,PURIFICACIÓN,Municipio
73616,RIOBLANCO,Municipio
73622,RONCESVALLES,Municipio
73624,ROVIRA,Municipio
73671,SALDAÑA,Municipio
73675,SAN ANTONIO,Municipio
73678,SAN LUIS,Municipio
73686,SANTA ISABEL,Municipio
73770,SUÁREZ,Municipio
73854,VALLE DE SAN JUAN,Municipio
73861,VENADILLO,Municipio
73870,VILLAHERMOSA,Municipio
73873,VILLARRICA,Municipio
76001,CALI,Municipio
76020,ALCALÁ,Municipio
76036,ANDALUCÍA,Municipio
76041,ANSERMANUEVO,Municipio
76054,ARGELIA,Municipio
76100,BOLÍVAR,Municipio
76109,BUENAVENTURA,Municipio
76111,GUADALAJARA DE BUGA,Municipio
76113,BUGALAGRANDE,Municipio
76122,CAICEDONIA,Municipio
76126,CALIMA,Municipio
76130,CANDELARIA,Municipio
76147,CARTAGO,Municipio
76233,DAGUA,Municipio
76243,EL ÁGUILA,Municipio
76246,EL CAIRO,Municipio
76248,EL CERRITO,Municipio
76250,EL DOVIO,Municipio
76275,FLORIDA,Municipio
76306,GINEBRA,Municipio
76318,GUACARÍ,Municipio
76364,JAMUNDÍ,Municipio
76377,LA CUMBRE,Municipio
76400,LA UNIÓN,Municipio
76403,LA VICTORIA,Municipio
76497,OBANDO,Municipio
76520,PALMIRA,Municipio
76563,PRADERA,Municipio
76606,RESTREPO,Municipio
76616,RIOFRÍO,Municipio
76622,ROLDANILLO,Municipio
76670,SAN PEDRO,Municipio
76736,SEVILLA,Municipio
76823,TORO,Municipio
76828,TRUJILLO,Municipio
76834,TULUÁ,Municipio
76845,ULLOA,Municipio
76863,VERSALLES,Municipio
76869,VIJES,Municipio
76890,YOTOCO,Municipio
76892,YUMBO,Municipio
76895,ZARZAL,Municipio
81001,ARAUCA,Municipio
81065,ARAUQUITA,Municipio
81220,CRAVO NORTE,Municipio
81300,FORTUL,Municipio
81591,PUERTO RONDÓN,Municipio
81736,SARAVENA,Municipio
81794,TAME,Municipio
85001,YOPAL,Municipio
85010,AGUAZUL,Municipio
85015,CHÁMEZA,Municipio
85125,HATO COROZAL,Municipio
85136,LA SALINA,Municipio
85139,MANÍ,Municipio
85162,MONTERREY,Municipio
85225,NUNCHÍA,Municipio
85230,OROCUÉ,Municipio
85250,PAZ DE ARIPORO,Municipio
85263,PORE,Municipio
85279,RECETOR,Municipio
85300,SABANALARGA,Municipio
85315,SÁCAMA,Municipio
85325,SAN LUIS DE PALENQUE,Municipio
85400,TÁMARA,Municipio
85410,TAURAMENA,Municipio
85430,TRINIDAD,Municipio
85440,VILLANUEVA,Municipio
86001,MOCOA,Municipio
86219,COLÓN,Municipio
86320,ORITO,Municipio
86568,PUERTO ASÍS,Municipio
86569,PUERTO CAICEDO,Municipio
86571,PUERTO GUZMÁN,Municipio
86573,PUERTO LEGUÍZAMO,Municipio
86749,SIBUNDOY,Municipio
86755,SAN FRANCISCO,Municipio
86757,SAN MIGUEL,Municipio
86760,SANTIAGO,Municipio
86865,VALLE DEL GUAMUEZ,Municipio
86885,VILLAGARZÓN,Municipio
88001,SAN ANDRÉS,Municipio
88564,PROVIDENCIA,Municipio
91001,LETICIA,Municipio
91263,EL ENCANTO,Municipio
91405,LA CHORRERA,Municipio
91407,LA PEDRERA,Municipio
91430,LA VICTORIA,Municipio
91460,MIRITÍ - PARANÁ,Municipio
91530,PUERTO ALEGRÍA,Municipio
91536,PUERTO ARICA,Municipio
91540,PUERTO NARIÑO,Municipio
91669,PUERTO SANTANDER,Municipio
91798,TARAPACÁ,Municipio
94001,INÍRIDA,Municipio
94343,BARRANCO MINAS,Municipio
94663,MAPIRIPANA,Municipio
94883,SAN FELIPE,Municipio
94884,PUERTO COLOMBIA,Municipio
94885,LA GUADALUPE,Municipio
94886,CACAHUAL,Municipio
94887,PANA PANA,Municipio
94888,MORICHAL,Municipio
95001,SAN JOSÉ DEL GUAVIARE,Municipio
95015,CALAMAR,Municipio
95025,EL RETORNO,Municipio
95200,MIRAFLORES,Municipio
97001,MITÚ,Municipio
97161,CARURÚ,Municipio
97511,PACOA,Municipio
97666,TARAIRA,Municipio
97777,PAPUNAHUA,Municipio
97889,YAVARATÉ,Municipio
99001,PUERTO CARREÑO,Municipio
99524,LA PRIMAVERA,Municipio
99624,SANTA ROSALÍA,Municipio
99773,CUMARIBO,Municipio
