code,municipality,type
13688,SANTA ROSA DEL SUR,Municipio
13744,SIMITÍ,Municipio
13760,SOPLAVIENTO,Municipio
13780,TALAIGUA NUEVO,Municipio
13810,TIQUISIO,Municipio
13836,TURBACO,Municipio
13838,TURBANÁ,Municipio
13873,VILLANUEVA,Municipio
13894,ZAMBRANO,Municipio
15001,TUNJA,Municipio
15022,ALMEIDA,Municipio
15047,AQUITANIA,Municipio
15051,ARCABUCO,Municipio
15087,BELÉN,Municipio
15090,BERBEO,Municipio
15092,BETÉITIVA,Municipio
15097,BOAVITA,Municipio
15104,BOYACÁ,Municipio
15106,BRICEÑO,Municipio
15109,BUENAVISTA,Municipio
15114,BUSBANZÁ,Municipio
15131,CALDAS,Municipio
15135,CAMPOHERMOSO,Municipio
15162,CERINZA,Municipio
15172,CHINAVITA,Municipio
15176,CHIQUINQUIRÁ,Municipio
15180,CHISCAS,Municipio
15183,CHITA,Municipio
15185,CHITARAQUE,Municipio
15187,CHIVATÁ,Municipio
15189,CIÉNEGA,Municipio
15204,CÓMBITA,Municipio
15212,COPER,Municipio
15215,CORRALES,Municipio
15218,COVARACHÍA,Municipio
15223,CUBARÁ,Municipio
15224,CUCAITA,Municipio
15226,CUÍTIVA,Municipio
15232,CHÍQUIZA,Municipio
15236,CHIVOR,Municipio
15238,DUITAMA,Municipio
15244,EL COCUY,Municipio
15248,EL ESPINO,Municipio
15272,FIRAVITOBA,Municipio
15276,FLORESTA,Municipio
15293,GACHANTIVÁ,Municipio
15296,GÁMEZA,Municipio
15299,GARAGOA,Municipio
15317,GUACAMAYAS,Municipio
15322,GUATEQUE,Municipio
15325,GUAYATÁ,Municipio
15332,GÜICÁN DE LA SIERRA,Municipio
15362,IZA,Municipio
15367,JENESANO,Municipio
15368,JERICÓ,Municipio
15377,LABRANZAGRANDE,Municipio
15380,LA CAPILLA,Municipio
15401,LA VICTORIA,Municipio
15403,LA UVITA,Municipio
15407,VILLA DE LEYVA,Municipio
15425,MACANAL,Municipio
15442,MARIPÍ,Municipio
15455,MIRAFLORES,Municipio
15464,MONGUA,Municipio
15466,MONGUÍ,Municipio
15469,MONIQUIRÁ,Municipio
15476,MOTAVITA,Municipio
15480,MUZO,Municipio
15491,NOBSA,Municipio
15494,NUEVO COLÓN,Municipio
15500,OICATÁ,Municipio
15507,OTANCHE,Municipio
15511,PACHAVITA,Municipio
15514,PÁEZ,Municipio
15516,PAIPA,Municipio
15518,PAJARITO,Municipio
15522,PANQUEBA,Municipio
15531,PAUNA,Municipio
15533,PAYA,Municipio
15537,PAZ DE RÍO,Municipio
15542,PESCA,Municipio
15550,PISBA,Municipio
15572,PUERTO BOYACÁ,Municipio
15580,QUÍPAMA,Municipio
15599,RAMIRIQUÍ,Municipio
15600,RÁQUIRA,Municipio
15621,RONDÓN,Municipio
15632,SABOYÁ,Municipio
15638,SÁCHICA,Municipio
15646,SAMACÁ,Municipio
15660,SAN EDUARDO,Municipio
15664,SAN JOSÉ DE PARE,Municipio
15667,SAN LUIS DE GACENO,Municipio
15673,SAN MATEO,Municipio
15676,SAN MIGUEL DE SEMA,Municipio
15681,SAN PABLO DE BORBUR,Municipio
